file_name,format,size_bytes,sha256,source_org,source_url,authority_note,collected_from_dir,original_relative_path,source_record,duplicate_paths
MedlinePlus_PTSD.txt,txt,10898,ae10ab8cd9d840a8d1a218527d1c48b10347342c20dd294d72b018ec804d36ff,MedlinePlus,https://medlineplus.gov/posttraumaticstressdisorder.html,美国国家医学图书馆官方健康专题,official_mental_health_corpus_20260429_direct_docs,official_mental_health_corpus_20260429_direct_docs/files/MedlinePlus_PTSD.txt,official_mental_health_corpus_20260429_docs_only/meta/sources_manifest.csv,
MedlinePlus_儿童心理健康.txt,txt,8286,ffae76b6409521502e2637edf5baf6dbb858c7bd07765b3b7e9c7fe175c2cd3d,MedlinePlus,https://medlineplus.gov/childmentalhealth.html,美国国家医学图书馆官方健康专题,official_mental_health_corpus_20260429_direct_docs,official_mental_health_corpus_20260429_direct_docs/files/MedlinePlus_儿童心理健康.txt,official_mental_health_corpus_20260429_docs_only/meta/sources_manifest.csv,
MedlinePlus_压力.txt,txt,11093,14440b2262c70b55901cea5de6f95e3a1f87948a9ba8b42e85c282bd9951cfba,MedlinePlus,https://medlineplus.gov/stress.html,美国国家医学图书馆官方健康专题,official_mental_health_corpus_20260429_direct_docs,official_mental_health_corpus_20260429_direct_docs/files/MedlinePlus_压力.txt,official_mental_health_corpus_20260429_docs_only/meta/sources_manifest.csv,
MedlinePlus_双相障碍.txt,txt,11495,85a51bc2f0a3e4d79505af97d816ad2faf83653df005f95aa300d280381e37f6,MedlinePlus,https://medlineplus.gov/bipolardisorder.html,美国国家医学图书馆官方健康专题,official_mental_health_corpus_20260429_direct_docs,official_mental_health_corpus_20260429_direct_docs/files/MedlinePlus_双相障碍.txt,official_mental_health_corpus_20260429_docs_only/meta/sources_manifest.csv,
MedlinePlus_失眠.txt,txt,7869,82bc0b1ee47dd4538f95fcc0f74289b131ccd037e191116a9af82a9bce22330f,MedlinePlus,https://medlineplus.gov/insomnia.html,美国国家医学图书馆官方健康专题,official_mental_health_corpus_20260429_direct_docs,official_mental_health_corpus_20260429_direct_docs/files/MedlinePlus_失眠.txt,official_mental_health_corpus_20260429_docs_only/meta/sources_manifest.csv,
MedlinePlus_强迫症.txt,txt,10008,86bc344218721fb23f2eb16bb212177c4253229c523d4a98c5288b5fbdb623dd,MedlinePlus,https://medlineplus.gov/obsessivecompulsivedisorder.html,美国国家医学图书馆官方健康专题,official_mental_health_corpus_20260429_direct_docs,official_mental_health_corpus_20260429_direct_docs/files/MedlinePlus_强迫症.txt,official_mental_health_corpus_20260429_docs_only/meta/sources_manifest.csv,
MedlinePlus_焦虑.txt,txt,11451,a0557b6004193560f2249d2424353c0d1556742eaa411cc52c34f989541e8982,MedlinePlus,https://medlineplus.gov/anxiety.html,美国国家医学图书馆官方健康专题,official_mental_health_corpus_20260429_direct_docs,official_mental_health_corpus_20260429_direct_docs/files/MedlinePlus_焦虑.txt,official_mental_health_corpus_20260429_docs_only/meta/sources_manifest.csv,
MedlinePlus_精神分裂症.txt,txt,5735,d6d8c054985d5448f98cfbc672f61add0f3393897f0357c0ba297cab1e637a84,MedlinePlus,https://medlineplus.gov/schizophrenia.html,美国国家医学图书馆官方健康专题,official_mental_health_corpus_20260429_direct_docs,official_mental_health_corpus_20260429_direct_docs/files/MedlinePlus_精神分裂症.txt,official_mental_health_corpus_20260429_docs_only/meta/sources_manifest.csv,
MedlinePlus_进食障碍.txt,txt,12208,f978f6f67ede9bd5eb5edd67b21fa9556ce5378376f6bcc67c8152784f47c4d5,MedlinePlus,https://medlineplus.gov/eatingdisorders.html,美国国家医学图书馆官方健康专题,official_mental_health_corpus_20260429_direct_docs,official_mental_health_corpus_20260429_direct_docs/files/MedlinePlus_进食障碍.txt,official_mental_health_corpus_20260429_docs_only/meta/sources_manifest.csv,
NHS_双相障碍.txt,txt,7320,fc8fbd8143c535337902e57cc6835151ae20e93ebe1e93f5a4f4bd4b7bd469d0,NHS,https://www.nhs.uk/mental-health/conditions/bipolar-disorder/,英国 NHS 官方专题页,official_mental_health_corpus_20260429_direct_docs,official_mental_health_corpus_20260429_direct_docs/files/NHS_双相障碍.txt,official_mental_health_corpus_20260429_docs_only/meta/sources_manifest.csv,
NHS_广泛性焦虑障碍.txt,txt,7416,9be9d9bc4196b95738224dca772c5a0a8313a156d236c03cc9dbff46437d100d,NHS,https://www.nhs.uk/mental-health/conditions/generalised-anxiety-disorder-gad/,英国 NHS 官方专题页,official_mental_health_corpus_20260429_direct_docs,official_mental_health_corpus_20260429_direct_docs/files/NHS_广泛性焦虑障碍.txt,official_mental_health_corpus_20260429_docs_only/meta/sources_manifest.csv,
NHS_强迫症.txt,txt,6011,1b5ddbaecd17657850e86cdb3f07c61ec5ba38b1682f735f7cb7ade8c394d9be,NHS,https://www.nhs.uk/mental-health/conditions/obsessive-compulsive-disorder-ocd/overview/,英国 NHS 官方专题页,official_mental_health_corpus_20260429_direct_docs,official_mental_health_corpus_20260429_direct_docs/files/NHS_强迫症.txt,official_mental_health_corpus_20260429_docs_only/meta/sources_manifest.csv,
NHS_成人抑郁.txt,txt,4933,1a77666a1a973b1ced6ff6bb2f9fb482c352ea165f3b987ae1bbc0b35deebcee,NHS,https://www.nhs.uk/mental-health/conditions/depression-in-adults/overview/,英国 NHS 官方专题页,official_mental_health_corpus_20260429_direct_docs,official_mental_health_corpus_20260429_direct_docs/files/NHS_成人抑郁.txt,official_mental_health_corpus_20260429_docs_only/meta/sources_manifest.csv,
NHS_改善睡眠.txt,txt,5364,1cc9ebd1cb93a768ad3e16865c66c984ed91f194541df3beca2566ce39522bdb,NHS,https://www.nhs.uk/every-mind-matters/mental-wellbeing-tips/how-to-fall-asleep-faster-and-sleep-better/,英国 NHS 官方专题页,official_mental_health_corpus_20260429_direct_docs,official_mental_health_corpus_20260429_direct_docs/files/NHS_改善睡眠.txt,official_mental_health_corpus_20260429_docs_only/meta/sources_manifest.csv,
NIMH_5行动步骤.pdf,pdf,165058,fd18254df5113189446cd960ea581fb6793ed58addd13b7c3120ec8dcb38ba18,NIMH,https://www.nimh.nih.gov/sites/default/files/documents/health/publications/5-action-steps-help-someone-having-thoughts-suicide.pdf,,official_mental_health_corpus_20260429_direct_docs,official_mental_health_corpus_20260429_direct_docs/files/NIMH_5行动步骤.pdf,official_mental_health_corpus_20260429_direct_docs/README_sources.md,official_mental_health_corpus_20260429_docs_only/raw/www.nimh.nih.gov/NIMH_5行动步骤_PDF.pdf | official_mental_health_corpus_20260429_docs_strict/raw/www.nimh.nih.gov/NIMH_5行动步骤_PDF.pdf | official_mental_health_corpus_20260429_fullscan/raw/www.nimh.nih.gov/NIMH_5行动步骤_PDF.pdf | official_mental_health_docs_final_20260429/pdf/NIMH_5行动步骤_PDF.pdf | official_mental_health_corpus_20260429_delivery/raw/www.nimh.nih.gov/NIMH_5行动步骤_PDF.pdf
NIMH_ADHD基础.pdf,pdf,598378,74df79fa4b4eaffc5dc2e154f46451e44bc221cb561b1755b7d51d44e6243143,NIMH,https://www.nimh.nih.gov/sites/default/files/documents/health/publications/adhd-2024.pdf,,official_mental_health_corpus_20260429_direct_docs,official_mental_health_corpus_20260429_direct_docs/files/NIMH_ADHD基础.pdf,official_mental_health_corpus_20260429_direct_docs/README_sources.md,
NIMH_ASQ_住院临床路径.pdf,pdf,734583,66593600c3c7e5d76f792a98641e5f94a497c5310e21b9dfc025ee83d9b003f1,NIMH,https://www.nimh.nih.gov/sites/default/files/documents/research/research-conducted-at-nimh/asq-toolkit-materials/inpatient/pdfs/suicide_risk_screening_clinical_pathway_inpatient_final_with_supplement.pdf,,official_mental_health_corpus_20260429_direct_docs,official_mental_health_corpus_20260429_direct_docs/files/NIMH_ASQ_住院临床路径.pdf,official_mental_health_corpus_20260429_direct_docs/README_sources.md,official_mental_health_corpus_20260429_docs_only/raw/www.nimh.nih.gov/NIMH_ASQ_住院临床路径_PDF.pdf | official_mental_health_corpus_20260429_docs_strict/raw/www.nimh.nih.gov/NIMH_ASQ_住院临床路径_PDF.pdf | official_mental_health_corpus_20260429_fullscan/raw/www.nimh.nih.gov/NIMH_ASQ_住院临床路径_PDF.pdf | official_mental_health_docs_final_20260429/pdf/NIMH_ASQ_住院临床路径_PDF.pdf | official_mental_health_corpus_20260429_delivery/raw/www.nimh.nih.gov/NIMH_ASQ_住院临床路径_PDF.pdf
NIMH_ASQ_成人急诊临床路径.pdf,pdf,235752,112d2a1806f896923208cbec33313fd7e8cb2a3fda4275ca37306435cb1de358,NIMH,https://www.nimh.nih.gov/sites/default/files/documents/research/research-conducted-at-nimh/asq-toolkit-materials/adult-ed/bssa_ed_adult_asq_nimh_toolkit.pdf,,official_mental_health_corpus_20260429_direct_docs,official_mental_health_corpus_20260429_direct_docs/files/NIMH_ASQ_成人急诊临床路径.pdf,official_mental_health_corpus_20260429_direct_docs/README_sources.md,official_mental_health_corpus_20260429_docs_only/raw/www.nimh.nih.gov/NIMH_ASQ_成人急诊临床路径_PDF.pdf | official_mental_health_corpus_20260429_docs_strict/raw/www.nimh.nih.gov/NIMH_ASQ_成人急诊临床路径_PDF.pdf | official_mental_health_corpus_20260429_fullscan/raw/www.nimh.nih.gov/NIMH_ASQ_成人急诊临床路径_PDF.pdf | official_mental_health_docs_final_20260429/pdf/NIMH_ASQ_成人急诊临床路径_PDF.pdf | official_mental_health_corpus_20260429_delivery/raw/www.nimh.nih.gov/NIMH_ASQ_成人急诊临床路径_PDF.pdf
NIMH_ASQ_青少年门诊临床路径.pdf,pdf,395835,b3a2ef0eef500a76cc3f2746dcb65545cf39669c4ceb3cf0239ab9a6c1af3189,NIMH,https://www.nimh.nih.gov/sites/default/files/documents/research/research-conducted-at-nimh/asq-toolkit-materials/youth-outpatient/bssa_outpatient_youth_asq_nimh_toolkit.pdf,,official_mental_health_corpus_20260429_direct_docs,official_mental_health_corpus_20260429_direct_docs/files/NIMH_ASQ_青少年门诊临床路径.pdf,official_mental_health_corpus_20260429_direct_docs/README_sources.md,official_mental_health_corpus_20260429_docs_only/raw/www.nimh.nih.gov/NIMH_ASQ_青少年门诊临床路径_PDF.pdf | official_mental_health_corpus_20260429_docs_strict/raw/www.nimh.nih.gov/NIMH_ASQ_青少年门诊临床路径_PDF.pdf | official_mental_health_corpus_20260429_fullscan/raw/www.nimh.nih.gov/NIMH_ASQ_青少年门诊临床路径_PDF.pdf | official_mental_health_docs_final_20260429/pdf/NIMH_ASQ_青少年门诊临床路径_PDF.pdf | official_mental_health_corpus_20260429_delivery/raw/www.nimh.nih.gov/NIMH_ASQ_青少年门诊临床路径_PDF.pdf
